Id,task_1,task_2
data/test\nevus\ISIC_0015973.jpg,0.1475873,0.18502991
data/test\nevus\ISIC_0015974.jpg,0.123537794,0.30946895
data/test\nevus\ISIC_0015975.jpg,0.14709397,0.10698272
data/test\nevus\ISIC_0015976.jpg,0.13997993,0.055606075
data/test\nevus\ISIC_0015978.jpg,0.06723639,0.39935037
data/test\nevus\ISIC_0015979.jpg,0.13777186,0.24753007
data/test\nevus\ISIC_0015980.jpg,0.12081111,0.2534128
data/test\nevus\ISIC_0015981.jpg,0.15489683,0.122421205
data/test\nevus\ISIC_0015982.jpg,0.15180215,0.047681414
data/test\nevus\ISIC_0015983.jpg,0.26191995,0.1443074
data/test\nevus\ISIC_0015984.jpg,0.17326978,0.21630524
data/test\nevus\ISIC_0015985.jpg,0.18422401,0.050224572
data/test\nevus\ISIC_0015986.jpg,0.14054272,0.17123681
data/test\nevus\ISIC_0015987.jpg,0.13878596,0.19578391
data/test\nevus\ISIC_0015988.jpg,0.35588226,0.039095704
data/test\nevus\ISIC_0015989.jpg,0.22255422,0.062353685
data/test\nevus\ISIC_0015990.jpg,0.17494112,0.03972407
data/test\nevus\ISIC_0015991.jpg,0.16327119,0.06978032
data/test\nevus\ISIC_0015992.jpg,0.18683112,0.049612276
data/test\nevus\ISIC_0015993.jpg,0.15831481,0.070069455
data/test\nevus\ISIC_0015994.jpg,0.1405961,0.05735871
data/test\nevus\ISIC_0015995.jpg,0.32691458,0.02448406
data/test\nevus\ISIC_0015996.jpg,0.16817376,0.112162046
data/test\nevus\ISIC_0015997.jpg,0.2014773,0.04915693
data/test\nevus\ISIC_0015998.jpg,0.21001422,0.02698423
data/test\nevus\ISIC_0015999.jpg,0.32390606,0.052310552
data/test\nevus\ISIC_0016000.jpg,0.4812871,0.14271905
data/test\nevus\ISIC_0016001.jpg,0.20066087,0.42636436
data/test\nevus\ISIC_0016002.jpg,0.13397807,0.019654173
data/test\nevus\ISIC_0016003.jpg,0.25534618,0.025173014
data/test\nevus\ISIC_0016004.jpg,0.23008363,0.09732512
data/test\nevus\ISIC_0016005.jpg,0.07858726,0.047509294
data/test\nevus\ISIC_0016006.jpg,0.17331247,0.25865126
data/test\nevus\ISIC_0016007.jpg,0.10511974,0.30778858
data/test\nevus\ISIC_0016008.jpg,0.080802396,0.5709646
data/test\nevus\ISIC_0016009.jpg,0.09570283,0.2396254
data/test\nevus\ISIC_0016011.jpg,0.08026402,0.6385715
data/test\nevus\ISIC_0016012.jpg,0.28195763,0.16283779
data/test\nevus\ISIC_0016013.jpg,0.1447805,0.25705463
data/test\nevus\ISIC_0016014.jpg,0.15964706,0.15381119
data/test\nevus\ISIC_0016015.jpg,0.115762934,0.16246536
data/test\nevus\ISIC_0016016.jpg,0.074741416,0.08056724
data/test\nevus\ISIC_0016017.jpg,0.12280701,0.042149737
data/test\nevus\ISIC_0016018.jpg,0.06651391,0.23503487
data/test\nevus\ISIC_0016019.jpg,0.20832656,0.21422844
data/test\nevus\ISIC_0016022.jpg,0.35942265,0.0790563
data/test\nevus\ISIC_0016023.jpg,0.0882986,0.58680856
data/test\nevus\ISIC_0016024.jpg,0.15841313,0.22873756
data/test\nevus\ISIC_0016025.jpg,0.2938427,0.017346375
data/test\nevus\ISIC_0016026.jpg,0.22636056,0.15508844
data/test\nevus\ISIC_0016027.jpg,0.19636208,0.4114253
data/test\nevus\ISIC_0016028.jpg,0.11331201,0.27899566
data/test\nevus\ISIC_0016029.jpg,0.11830241,0.3314903
data/test\nevus\ISIC_0016030.jpg,0.12765154,0.35777417
data/test\nevus\ISIC_0016031.jpg,0.11676764,0.34574646
data/test\nevus\ISIC_0016033.jpg,0.07860563,0.3130889
data/test\nevus\ISIC_0016034.jpg,0.16465719,0.12624907
data/test\nevus\ISIC_0016035.jpg,0.12853222,0.3195037
data/test\nevus\ISIC_0016036.jpg,0.1953922,0.47783536
data/test\nevus\ISIC_0016037.jpg,0.13986017,0.4995884
data/test\nevus\ISIC_0016038.jpg,0.15469994,0.04768697
data/test\nevus\ISIC_0016040.jpg,0.3209846,0.19208226
data/test\nevus\ISIC_0016041.jpg,0.059251696,0.41451165
data/test\nevus\ISIC_0016042.jpg,0.11190723,0.39322323
data/test\nevus\ISIC_0016043.jpg,0.12910952,0.20909436
data/test\nevus\ISIC_0016044.jpg,0.10975046,0.082709275
data/test\nevus\ISIC_0016045.jpg,0.16412805,0.16113941
data/test\nevus\ISIC_0016046.jpg,0.15247013,0.003867297
data/test\nevus\ISIC_0016048.jpg,0.12504156,0.17267051
data/test\nevus\ISIC_0016049.jpg,0.19957323,0.027485307
data/test\nevus\ISIC_0016050.jpg,0.23791519,0.038815036
data/test\nevus\ISIC_0016051.jpg,0.19082902,0.062195476
data/test\nevus\ISIC_0016052.jpg,0.10953782,0.4115795
data/test\nevus\ISIC_0016053.jpg,0.22871439,0.121667676
data/test\nevus\ISIC_0016054.jpg,0.15924346,0.45753595
data/test\nevus\ISIC_0016055.jpg,0.09620367,0.010793516
data/test\nevus\ISIC_0016056.jpg,0.28235433,0.27164733
data/test\nevus\ISIC_0016057.jpg,0.16509324,0.28011498
data/test\nevus\ISIC_0016058.jpg,0.10337788,0.56958276
data/test\nevus\ISIC_0016059.jpg,0.13183755,0.20011498
data/test\nevus\ISIC_0016060.jpg,0.52346015,0.11699944
data/test\nevus\ISIC_0016061.jpg,0.2216545,0.025157936
data/test\nevus\ISIC_0016062.jpg,0.18956414,0.17528252
data/test\nevus\ISIC_0016063.jpg,0.160426,0.13010848
data/test\nevus\ISIC_0016064.jpg,0.31788582,0.24388802
data/test\nevus\ISIC_0016065.jpg,0.37753913,0.069341384
data/test\nevus\ISIC_0016066.jpg,0.25439578,0.29500365
data/test\nevus\ISIC_0016068.jpg,0.22321561,0.18505056
data/test\nevus\ISIC_0016069.jpg,0.22369473,0.03202163
data/test\nevus\ISIC_0016070.jpg,0.04244154,0.11243069
data/test\nevus\ISIC_0016071.jpg,0.1640865,0.17049898
data/test\nevus\ISIC_0016072.jpg,0.2328879,0.36405668
data/test\seborrheic_keratosis\ISIC_0012086.jpg,0.31462404,0.2871335
data/test\seborrheic_keratosis\ISIC_0012134.jpg,0.15582964,0.4599184
data/test\seborrheic_keratosis\ISIC_0012136.jpg,0.2066785,0.46099952
data/test\seborrheic_keratosis\ISIC_0012178.jpg,0.20401333,0.4091264
data/test\seborrheic_keratosis\ISIC_0012199.jpg,0.31433102,0.0054308204
data/test\seborrheic_keratosis\ISIC_0012207.jpg,0.05527386,0.7439761
data/test\seborrheic_keratosis\ISIC_0012215.jpg,0.24222063,0.34856704
data/test\seborrheic_keratosis\ISIC_0012223.jpg,0.17957416,0.45477477
data/test\seborrheic_keratosis\ISIC_0012240.jpg,0.10800947,0.6619019
data/test\seborrheic_keratosis\ISIC_0012248.jpg,0.0882666,0.71846765
data/test\seborrheic_keratosis\ISIC_0012265.jpg,0.085696846,0.54114544
data/test\seborrheic_keratosis\ISIC_0012266.jpg,0.1150717,0.33238652
data/test\seborrheic_keratosis\ISIC_0012272.jpg,0.19780126,0.3231771
data/test\seborrheic_keratosis\ISIC_0012273.jpg,0.3665139,0.22270966
data/test\seborrheic_keratosis\ISIC_0012314.jpg,0.29617372,0.33896318
data/test\seborrheic_keratosis\ISIC_0012323.jpg,0.21484984,0.1014947
data/test\seborrheic_keratosis\ISIC_0012330.jpg,0.13285147,0.4678262
data/test\seborrheic_keratosis\ISIC_0012358.jpg,0.113258354,0.43174994
data/test\seborrheic_keratosis\ISIC_0012364.jpg,0.15750657,0.52785736
data/test\seborrheic_keratosis\ISIC_0012372.jpg,0.03860944,0.36535576
data/test\seborrheic_keratosis\ISIC_0012375.jpg,0.12544142,0.26376522
data/test\seborrheic_keratosis\ISIC_0012387.jpg,0.08022484,0.50288904
data/test\seborrheic_keratosis\ISIC_0012388.jpg,0.016705107,0.3942665
data/test\seborrheic_keratosis\ISIC_0012414.jpg,0.07556822,0.35391507
data/test\seborrheic_keratosis\ISIC_0012428.jpg,0.06318727,0.5078025
data/test\seborrheic_keratosis\ISIC_0012432.jpg,0.038808417,0.47234052
data/test\seborrheic_keratosis\ISIC_0012447.jpg,0.037378006,0.68056774
data/test\seborrheic_keratosis\ISIC_0012448.jpg,0.17538193,0.58513856
data/test\seborrheic_keratosis\ISIC_0012510.jpg,0.21363395,0.4175248
data/test\seborrheic_keratosis\ISIC_0012522.jpg,0.102943726,0.58757985
data/test\seborrheic_keratosis\ISIC_0012537.jpg,0.2251745,0.17765754
data/test\seborrheic_keratosis\ISIC_0012548.jpg,0.1593863,0.5705473
data/test\seborrheic_keratosis\ISIC_0012705.jpg,0.39387032,0.20423338
data/test\seborrheic_keratosis\ISIC_0012757.jpg,0.15852036,0.18796137
data/test\seborrheic_keratosis\ISIC_0012786.jpg,0.08119479,0.6346729
data/test\seborrheic_keratosis\ISIC_0012848.jpg,0.043047193,0.48955932
data/test\seborrheic_keratosis\ISIC_0012852.jpg,0.08863467,0.54736984
data/test\seborrheic_keratosis\ISIC_0012928.jpg,0.08743323,0.5362437
data/test\seborrheic_keratosis\ISIC_0012955.jpg,0.14112572,0.18862592
data/test\seborrheic_keratosis\ISIC_0012974.jpg,0.10265287,0.49930668
data/test\seborrheic_keratosis\ISIC_0013030.jpg,0.07456186,0.57893354
data/test\seborrheic_keratosis\ISIC_0013035.jpg,0.1344537,0.35799158
data/test\seborrheic_keratosis\ISIC_0013085.jpg,0.10509846,0.42158747
data/test\seborrheic_keratosis\ISIC_0013169.jpg,0.48612556,0.14004582
data/test\seborrheic_keratosis\ISIC_0013170.jpg,0.11401021,0.6040848
data/test\seborrheic_keratosis\ISIC_0013203.jpg,0.07477858,0.36999363
data/test\seborrheic_keratosis\ISIC_0013270.jpg,0.13185236,0.30485427
data/test\seborrheic_keratosis\ISIC_0013271.jpg,0.23088151,0.11364728
data/test\seborrheic_keratosis\ISIC_0013281.jpg,0.2140153,0.22276026
data/test\seborrheic_keratosis\ISIC_0013319.jpg,0.25179994,0.049914233
data/test\seborrheic_keratosis\ISIC_0013393.jpg,0.021773374,0.6042216
data/test\seborrheic_keratosis\ISIC_0013465.jpg,0.13830477,0.5606166
data/test\seborrheic_keratosis\ISIC_0013673.jpg,0.08117698,0.5187876
data/test\seborrheic_keratosis\ISIC_0013708.jpg,0.19764075,0.50444907
data/test\seborrheic_keratosis\ISIC_0013764.jpg,0.16663961,0.40095022
data/test\seborrheic_keratosis\ISIC_0013977.jpg,0.053026747,0.62765086
data/test\seborrheic_keratosis\ISIC_0014006.jpg,0.08848932,0.45236003
data/test\seborrheic_keratosis\ISIC_0014177.jpg,0.15108065,0.38752905
data/test\seborrheic_keratosis\ISIC_0014251.jpg,0.28666872,0.43232617
data/test\seborrheic_keratosis\ISIC_0014278.jpg,0.10917566,0.075192794
data/test\seborrheic_keratosis\ISIC_0014386.jpg,0.06877045,0.46890143
data/test\seborrheic_keratosis\ISIC_0014392.jpg,0.2484495,0.2664462
data/test\seborrheic_keratosis\ISIC_0014409.jpg,0.20468573,0.10587991
data/test\seborrheic_keratosis\ISIC_0014419.jpg,0.31275794,0.2577119
data/test\seborrheic_keratosis\ISIC_0014457.jpg,0.22082822,0.17068978
data/test\seborrheic_keratosis\ISIC_0014474.jpg,0.07945362,0.44012398
data/test\seborrheic_keratosis\ISIC_0014500.jpg,0.098585755,0.57395566
data/test\seborrheic_keratosis\ISIC_0014503.jpg,0.039522294,0.28177232
data/test\seborrheic_keratosis\ISIC_0014567.jpg,0.012674562,0.9373879
data/test\seborrheic_keratosis\ISIC_0014574.jpg,0.013457308,0.9005321
data/test\seborrheic_keratosis\ISIC_0014575.jpg,0.0133639285,0.8835141
data/test\seborrheic_keratosis\ISIC_0014586.jpg,0.14581223,0.043900467
data/test\seborrheic_keratosis\ISIC_0014587.jpg,0.023307413,0.8560776
data/test\seborrheic_keratosis\ISIC_0014588.jpg,0.017615085,0.91637427
data/test\seborrheic_keratosis\ISIC_0014590.jpg,0.025822574,0.84917444
data/test\seborrheic_keratosis\ISIC_0014600.jpg,0.04340985,0.7844991
data/test\seborrheic_keratosis\ISIC_0014619.jpg,0.056614213,0.7074073
data/test\seborrheic_keratosis\ISIC_0014626.jpg,0.03154124,0.7849132
data/test\seborrheic_keratosis\ISIC_0014627.jpg,0.03225765,0.8148667
data/test\seborrheic_keratosis\ISIC_0014629.jpg,0.015876161,0.9031784
data/test\seborrheic_keratosis\ISIC_0014631.jpg,0.046003383,0.820746
data/test\seborrheic_keratosis\ISIC_0014634.jpg,0.027108291,0.9073774
data/test\seborrheic_keratosis\ISIC_0014643.jpg,0.016560258,0.88586646
data/test\seborrheic_keratosis\ISIC_0014644.jpg,0.24910413,0.044567276
data/test\seborrheic_keratosis\ISIC_0014645.jpg,0.31941566,0.295379
data/test\seborrheic_keratosis\ISIC_0014647.jpg,0.028642114,0.85212976
data/test\seborrheic_keratosis\ISIC_0014648.jpg,0.014044667,0.8839451
data/test\seborrheic_keratosis\ISIC_0014649.jpg,0.013216601,0.91394496
data/test\seborrheic_keratosis\ISIC_0014652.jpg,0.04271137,0.87579393
data/test\seborrheic_keratosis\ISIC_0014653.jpg,0.04502714,0.77912897
